Width,Height,Type,Merging Num,Avg Intensity of Defect,Angle of Min Box,Area of Defect,Area of Min Box,Border Pixel,Compactness,AR (Aspect Ratio) of Box,AR of Min Box,Rectangularity,Dispersion,Label
35,22,1,0,58.7782,-84.0938,293,698.1176,93,0.0339,1.5909,1.6483,0.4197,19.5778,1
26,30,1,0,44.9816,-16.9275,381,600.6228,78,0.0626,1.1538,1.2548,0.6343,7.9721,1
28,29,1,0,62,-32.7352,250,661.3539,86,0.0338,1.0357,1.5391,0.378,13.304,0
16,13,1,0,67.0714,-45,112,175,44,0.0579,1.2308,1.7857,0.64,52.0543,1
2,3,1,0,46.1667,-90,6,2,6,0.1667,1.5,2,3,5.3821,0
17,11,1,0,68.0882,-17.1027,68,138.0325,42,0.0385,1.5455,1.9649,0.4926,18.0147,0
50,27,1,0,44.7829,-10.0806,562,1015.6517,128,0.0343,1.8519,2.3312,0.5533,14.3651,1
26,14,1,0,45.4268,-75.9638,239,289.5294,62,0.0622,1.8571,2.3261,0.8255,5.5324,1
53,62,1,4,45.4067,-63.435,327,2548.1997,153,0.014,1.1698,1.4731,0.1283,23.9363,1
9,11,1,0,46.6724,-63.435,58,74.8,26,0.0858,1.2222,1.2941,0.7754,9.3946,0
20,23,1,0,59.1106,-55.4915,199,295.2785,64,0.0486,1.15,2.1043,0.6739,22.4856,1
4,4,1,0,35.5,-90,14,9,11,0.1157,1,1,1.5556,10.5082,1
11,14,1,0,57.2895,-36.8699,76,99.4,32,0.0742,1.2727,2.0286,0.7646,11.797,1
82,39,1,3,57.9898,-81.2538,488,2766.9719,177,0.0156,2.1026,2.4502,0.1764,23.755,0
